ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
23934,JB258088,05/11/2018 06:21:00 AM,033XX W GLADYS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,1134,011,28,27,01A,1154354,1898103,2018,05/18/2018 03:52:39 PM,41.876218655,-87.708730543,"(41.876218655, -87.708730543)"
23935,JB260251,05/12/2018 01:04:00 AM,027XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0334,003,7,43,01A,1195735,1856117,2018,05/19/2018 03:48:17 PM,41.760080391,-87.558186925,"(41.760080391, -87.558186925)"
23936,JB260275,05/12/2018 01:30:00 AM,091XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0633,006,8,44,01A,1183158,1844656,2018,05/19/2018 03:48:17 PM,41.728931909,-87.604636832,"(41.728931909, -87.604636832)"
23938,JB262133,05/13/2018 05:43:00 PM,000XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,1832,018,42,8,01A,1175959,1905721,2018,05/20/2018 03:51:43 PM,41.896664035,-87.629175344,"(41.896664035, -87.629175344)"
23939,JB263568,05/14/2018 10:08:00 PM,030XX E 80TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0422,004,7,46,01A,1197788,1852506,2018,05/21/2018 04:00:15 PM,41.750120546,-87.550783209,"(41.750120546, -87.550783209)"
23940,JB263673,05/14/2018 07:20:00 PM,047XX W DEMING PL,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,2521,025,31,19,01A,1144421,1916627,2018,05/21/2018 04:00:15 PM,41.927243123,-87.744734834,"(41.927243123, -87.744734834)"
23941,JB235021,05/14/2018 04:04:00 PM,009XX N LATROBE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1524,015,37,25,01A,1141186,1905788,2018,05/21/2018 04:00:15 PM,41.897560025,-87.756889953,"(41.897560025, -87.756889953)"
23952,JA446993,01/11/2018 12:00:00 AM,086XX S STATE ST,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,false,false,0632,006,6,44,01A,1177802,1847510,2018,05/22/2018 04:05:33 PM,41.736886394,-87.624170849,"(41.736886394, -87.624170849)"
23942,JB264263,05/15/2018 11:40:00 AM,008XX N ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1121,011,27,23,01A,1152892,1905428,2018,05/22/2018 04:12:16 PM,41.896348274,-87.713904401,"(41.896348274, -87.713904401)"
23950,JB242881,05/16/2018 02:54:00 PM,049XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0224,002,3,38,01A,1179265,1872440,2018,05/23/2018 04:05:40 PM,41.805263702,-87.618051298,"(41.805263702, -87.618051298)"
23943,JB266723,05/17/2018 01:13:00 AM,069XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0733,007,17,68,01A,1171173,1858786,2018,05/24/2018 03:56:11 PM,41.767976536,-87.648128379,"(41.767976536, -87.648128379)"
23944,JB267664,05/17/2018 06:27:00 PM,011XX N MASON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,1511,015,29,25,01A,1136490,1906930,2018,05/24/2018 03:56:11 PM,41.900779103,-87.774110737,"(41.900779103, -87.774110737)"
23945,JB267950,05/17/2018 09:09:00 PM,014XX S TRIPP AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1011,010,24,29,01A,1148285,1892754,2018,05/24/2018 03:56:11 PM,41.861659394,-87.731151793,"(41.861659394, -87.731151793)"
23946,JB268112,05/18/2018 02:43:00 AM,035XX S RHODES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0212,002,4,35,01A,1180162,1881716,2018,05/25/2018 03:49:37 PM,41.830697249,-87.614476891,"(41.830697249, -87.614476891)"
23947,JB269019,05/18/2018 06:02:00 PM,052XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0934,009,16,61,01A,1169539,1870144,2018,05/25/2018 03:49:37 PM,41.799179802,-87.653788713,"(41.799179802, -87.653788713)"
23948,JB269440,05/18/2018 11:34:00 PM,071XX S EUCLID AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,003,5,43,01A,1190280,1857899,2018,05/25/2018 03:49:37 PM,41.765103492,-87.578121854,"(41.765103492, -87.578121854)"
23949,JB270276,05/19/2018 05:56:00 PM,054XX W FULTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1523,015,28,25,01A,1139665,1901475,2018,08/02/2018 03:50:34 PM,41.885752526,-87.762581859,"(41.885752526, -87.762581859)"
